LLHHLLLLLLHLLHHLLLHLHHHLLLHLLLHHLHLHHLLLLHHHLHHHHLHLHLLLHLHHLHLH
W_LIST: -0.938162 0.293155 1.18749 1.12244 -2.31987 1.61411 0.0593384 2.36496 -1.89289 2.18305 1.13567 1.289 2.93818 -0.504139 0.140038 -3.13583 -0.800119 -0.473671 2.44795 -2.01872 -0.491809 -1.88168 -1.71294 -2.95307 2.35207 1.78707 1.46719 0.0688181 -2.18046 0.978959 -3.29399 0.32119 -3.19874 0.060668 1.92762 1.47722 1.87702 -3.19197 -0.754067 2.18156 -0.0856304 2.46238 -0.0774392 -0.00972133 0.325195 2.31816 -0.270287 -1.01238 2.13633 2.13912 3.23265 -1.42028 0.412983 1.79264 -3.14661 0.963489 -1.12967 3.22168 3.24754 1.7761 0.197557 2.90213 1.33967 2.16473 
st	op	ed	phy
SITE: 36	37	39	0
SITE: 54	56	57	1
SITE: 53	54	57	0
SITE: 52	53	57	1
SITE: 50	51	55	0
SITE: 50	55	57	1
SITE: 49	50	57	0
SITE: 47	49	52	1
SITE: 47	48	57	0
SITE: 52	58	59	0
SITE: 47	57	59	1
SITE: 47	59	60	0
SITE: 47	52	61	0
SITE: 47	61	62	0
SITE: 45	46	60	1
SITE: 45	60	62	1
SITE: 44	45	62	0
SITE: 44	62	63	1
SITE: 43	44	63	1
SITE: 42	43	63	1
SITE: 41	47	63	1
SITE: 40	41	63	0
SITE: 39	40	63	1
SITE: 38	39	63	1
SITE: 36	38	63	0
SITE: 35	36	63	0
SITE: 33	34	42	1
SITE: 33	35	63	0
SITE: 32	33	63	1
SITE: 31	32	63	0
SITE: 30	31	63	0
SITE: 29	30	63	1
SITE: 28	29	63	1
SITE: 27	28	63	0
SITE: 26	27	63	1
SITE: 25	26	63	0
SITE: 23	24	42	1
WARN: Unitary gate is identity
SITE: 25	25	25	1
SITE: 22	23	63	0
SITE: 21	22	63	1
SITE: 20	21	63	1
SITE: 18	19	42	0
SITE: 18	20	63	1
SITE: 17	18	63	0
SITE: 15	16	42	0
WARN: Unitary gate is identity
SITE: 17	17	17	1
SITE: 14	15	63	0
SITE: 12	14	42	0
SITE: 12	13	63	1
SITE: 11	12	63	1
SITE: 10	11	63	1
SITE: 8	9	42	1
SITE: 8	10	63	0
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 4	5	42	1
WARN: Unitary gate is identity
SITE: 6	6	6	0
SITE: 3	4	63	0
SITE: 2	3	63	0
SITE: 1	2	63	0
SITE: 0	63	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 42	42	42	0
MPS Info: -10.2592 1.03319 0.00190819 
Writing MPS done!
