LLLHHLLLHHLLLLLLLHHHHHLHHLHHHHLLLLHLLHHLHHHLLHHHLLHHLHLHLLLLHLLL
W_LIST: -1.97542 -0.0664926 -2.16076 2.85671 -2.7088 -1.72002 2.61865 -2.29999 0.88061 2.65826 -0.088946 3.19446 0.905142 -1.45703 -3.2745 -2.38127 1.10758 -1.34307 2.5817 -1.44268 -0.671743 2.30205 -0.701022 1.11389 2.31732 0.759367 0.955036 -0.744586 -0.590461 1.74762 2.46039 -2.64375 -0.363315 -2.6089 3.14567 -2.05064 -2.79726 1.56729 -1.06617 -2.46242 -1.36873 1.28192 1.92669 1.77231 2.33078 1.75539 -2.98336 -2.31098 0.214045 -2.50235 0.717848 0.359719 -1.30969 -2.8587 2.17867 -1.65939 -0.774384 2.69232 -1.17269 2.18029 3.23559 -0.093876 -2.42416 1.12823 
st	op	ed	phy
SITE: 60	62	63	0
SITE: 59	60	63	0
SITE: 58	59	63	1
SITE: 57	58	63	0
SITE: 56	57	63	1
SITE: 54	55	61	1
SITE: 54	56	63	0
SITE: 53	54	63	1
SITE: 52	53	63	1
SITE: 51	52	63	0
SITE: 49	51	61	0
SITE: 49	50	63	0
SITE: 48	49	63	0
SITE: 47	48	63	1
SITE: 45	46	61	1
SITE: 45	47	63	1
SITE: 44	45	63	0
SITE: 43	44	63	1
SITE: 42	43	63	1
SITE: 40	42	61	0
SITE: 40	41	63	0
SITE: 39	40	63	1
SITE: 38	39	63	0
SITE: 36	37	61	0
SITE: 36	61	63	1
SITE: 34	36	38	0
SITE: 34	35	63	0
SITE: 33	34	63	0
SITE: 32	33	63	0
SITE: 31	32	63	1
SITE: 30	31	63	0
SITE: 28	30	38	1
SITE: 28	29	63	0
SITE: 26	27	38	1
SITE: 26	28	63	1
SITE: 24	26	38	0
SITE: 24	25	63	1
SITE: 23	24	63	0
SITE: 22	23	63	0
SITE: 21	22	63	0
SITE: 20	21	63	0
SITE: 18	19	38	1
WARN: Unitary gate is identity
SITE: 20	20	20	1
SITE: 17	18	63	0
SITE: 15	16	38	1
WARN: Unitary gate is identity
SITE: 17	17	17	1
SITE: 13	14	38	0
WARN: Unitary gate is identity
SITE: 15	15	15	0
SITE: 12	13	63	0
SITE: 10	11	38	1
WARN: Unitary gate is identity
SITE: 12	12	12	1
SITE: 9	10	63	0
SITE: 7	9	38	0
WARN: Unitary gate is identity
SITE: 8	8	8	0
SITE: 6	7	63	0
SITE: 5	6	63	1
SITE: 3	4	38	1
WARN: Unitary gate is identity
SITE: 5	5	5	0
SITE: 2	3	63	0
SITE: 1	2	63	0
SITE: 0	0	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 38	38	38	1
MPS Info: -6.97462 0.67275 0.120144 
Writing MPS done!
