HLLLHHLHLLHLLLLHLLHLHHLHHLLHHHLHLHHLLHLHHHHLHLLLLHLHLLLHLHHLHLHH
W_LIST: -5.08487 -5.10627 6.84725 -0.612011 1.61241 0.762602 6.98719 -1.15749 -0.335188 6.96333 6.02838 -3.53697 -5.24468 -2.31167 -5.94169 -5.60049 -4.42557 -5.63793 -5.17843 -3.48675 5.72977 -5.45884 1.2287 -0.864422 -3.85137 4.1564 -1.08869 -0.923999 -2.49458 -5.68225 4.13588 5.52979 0.501143 1.87022 3.90235 -1.52969 -3.94544 -5.70707 -5.49517 -1.51546 1.63425 -1.62472 4.22026 5.82082 -1.93144 2.38364 -5.88264 -0.334241 -6.78474 -6.85138 -1.75862 6.35301 -3.14514 4.65732 -1.36807 -6.67062 5.0921 -2.67318 -4.2307 4.26457 4.4067 -4.83562 3.12115 -0.31129 
st	op	ed	phy
SITE: 53	55	56	1
SITE: 52	53	56	1
SITE: 51	52	56	0
SITE: 50	51	56	0
SITE: 50	56	57	1
SITE: 49	54	57	0
SITE: 50	58	59	1
SITE: 49	57	59	1
SITE: 50	60	61	0
SITE: 49	59	61	1
SITE: 49	61	62	0
SITE: 49	62	63	0
SITE: 19	20	22	0
SITE: 43	45	46	1
SITE: 43	46	47	0
SITE: 43	44	48	1
SITE: 41	43	47	1
SITE: 41	42	48	0
SITE: 40	41	48	1
SITE: 38	39	47	1
SITE: 38	40	48	0
SITE: 18	21	22	1
SITE: 19	23	24	1
SITE: 18	19	24	0
SITE: 18	24	25	1
SITE: 18	25	26	1
SITE: 47	49	50	1
SITE: 47	48	63	0
SITE: 38	50	63	0
SITE: 1	2	4	1
SITE: 29	31	32	0
SITE: 28	29	32	1
SITE: 27	30	32	1
SITE: 22	26	28	0
SITE: 18	22	28	1
SITE: 18	28	32	1
SITE: 27	33	34	0
SITE: 18	32	34	1
SITE: 18	34	35	0
SITE: 18	35	36	0
SITE: 18	36	37	0
SITE: 27	38	47	0
SITE: 27	37	63	1
SITE: 18	47	63	1
SITE: 17	18	63	1
SITE: 16	17	63	0
SITE: 15	16	63	0
SITE: 13	14	27	0
SITE: 13	15	63	1
SITE: 12	13	63	0
SITE: 10	12	27	0
WARN: Unitary gate is identity
SITE: 11	11	11	0
SITE: 8	9	27	1
WARN: Unitary gate is identity
SITE: 10	10	10	0
SITE: 6	8	27	0
WARN: Unitary gate is identity
SITE: 7	7	7	1
SITE: 5	6	63	1
SITE: 3	4	27	0
SITE: 3	5	63	0
SITE: 1	3	63	0
SITE: 0	1	63	0
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 27	27	27	1
WARN: Unitary gate is identity
SITE: 63	63	63	0
MPS Info: -8.16151 0.564343 0.0610959 
Writing MPS done!
