HLLHLHLLHLLLHHHHHLHLHLHLHHLHHHLLHHHLLLLHHHLHHHLHHHLHLHLLHLLHLHHH
W_LIST: 7.69681 -6.69975 -0.218439 3.46698 0.908394 -7.13837 -1.86615 3.47006 6.28 -6.90026 3.94755 0.535446 5.1219 -4.93112 1.0064 -4.58779 -0.474739 7.468 -5.59689 -2.60099 6.11603 3.8123 3.83526 -7.21742 -4.48507 2.2812 -2.47462 -3.01012 0.968853 -4.64738 2.55104 -0.803221 7.38456 -4.27598 7.38608 5.77644 0.261422 4.91128 -7.03 3.11133 -1.2148 -4.69276 -6.36213 -5.06649 2.61088 1.37216 2.75909 -3.50176 3.62792 -2.98084 7.94858 -4.46313 -7.73299 -5.85174 -4.77002 2.07523 6.67308 -4.3268 0.545743 5.84481 -3.66518 3.27597 -5.47521 -2.84585 
st	op	ed	phy
SITE: 17	18	20	1
SITE: 16	17	20	1
SITE: 59	60	62	0
SITE: 58	59	62	0
SITE: 56	57	61	0
SITE: 56	61	62	0
SITE: 54	56	58	0
SITE: 54	55	62	1
SITE: 48	50	51	1
SITE: 31	32	34	0
SITE: 29	30	33	1
SITE: 29	33	34	1
SITE: 28	29	34	1
SITE: 14	15	19	1
SITE: 14	19	20	0
SITE: 12	13	16	1
SITE: 12	16	20	1
SITE: 22	23	25	0
SITE: 22	24	26	1
SITE: 6	8	9	0
SITE: 4	5	7	1
SITE: 4	7	9	1
SITE: 4	9	10	0
SITE: 11	12	20	0
SITE: 6	10	14	1
SITE: 6	11	20	1
SITE: 4	6	20	0
SITE: 36	38	39	0
SITE: 36	37	40	1
SITE: 35	39	40	0
SITE: 31	34	36	0
SITE: 28	35	36	1
SITE: 28	31	40	0
SITE: 28	40	41	1
SITE: 46	48	49	0
SITE: 46	47	51	1
SITE: 27	36	41	0
SITE: 0	0	3	0
SITE: 2	3	14	0
SITE: 2	4	20	1
SITE: 1	1	20	0
SITE: 2	20	21	0
SITE: 14	22	25	0
SITE: 14	21	26	1
SITE: 2	25	26	0
SITE: 14	27	28	1
SITE: 2	26	28	0
SITE: 2	2	41	1
SITE: 46	51	52	1
SITE: 46	52	53	0
SITE: 49	53	58	1
SITE: 49	54	62	0
SITE: 46	49	62	1
SITE: 46	62	63	1
SITE: 14	41	42	1
SITE: 28	42	44	0
WARN: Unitary gate is identity
SITE: 43	43	43	1
SITE: 45	46	63	1
SITE: 28	44	58	0
WARN: Unitary gate is identity
SITE: 45	45	45	0
SITE: 14	63	63	1
WARN: Unitary gate is identity
SITE: 58	58	58	1
WARN: Unitary gate is identity
SITE: 28	28	28	0
WARN: Unitary gate is identity
SITE: 14	14	14	0
MPS Info: 19.054 0.17222 0.00309661 
Writing MPS done!
