LLLLLHLLHHLHHLHLLHHLLLLHLHLHLHLLHLLLLLLLHLHLHLLHLLHLLLHLLLLLHLLL
W_LIST: -2.97838 -0.445396 0.696871 0.0659047 0.953822 -1.92038 -1.73475 2.65593 -2.01764 -1.83681 1.91103 1.69668 -2.37404 -0.346872 -1.73932 -2.91005 -1.68566 1.17117 0.690299 -1.88353 2.57719 0.833656 2.84286 2.88158 2.8729 -2.02429 2.87947 0.153598 -2.14343 1.54538 0.884428 -0.12675 1.29895 1.10528 -0.650573 1.72811 -0.0326045 1.8384 0.855807 2.48834 -1.43265 1.60129 1.95455 -1.70944 -0.682886 -0.09819 -2.18798 -2.26581 2.89109 1.69983 2.4455 1.52001 -1.68395 -0.861205 0.315519 0.413377 1.94227 -2.28797 2.67348 1.55458 -0.164142 -0.0480854 2.38076 -2.43307 
st	op	ed	phy
SITE: 25	26	28	1
SITE: 24	25	28	1
SITE: 24	28	29	0
SITE: 24	29	30	0
SITE: 23	24	30	1
SITE: 23	30	31	1
SITE: 23	31	32	0
SITE: 23	32	33	0
SITE: 23	33	34	1
SITE: 23	34	35	0
SITE: 23	35	36	1
SITE: 23	36	37	0
SITE: 23	37	38	1
SITE: 27	39	40	1
SITE: 23	38	40	0
SITE: 23	40	41	1
SITE: 27	42	43	0
SITE: 23	41	43	1
SITE: 23	43	44	0
SITE: 27	45	46	1
SITE: 23	44	46	1
SITE: 27	46	48	0
SITE: 23	47	48	1
SITE: 21	22	27	1
SITE: 21	23	48	0
SITE: 20	21	48	0
SITE: 19	20	48	1
SITE: 18	19	48	0
SITE: 16	17	27	0
SITE: 16	18	48	0
SITE: 15	16	48	0
SITE: 14	15	48	0
SITE: 12	14	27	1
SITE: 12	13	48	0
SITE: 11	12	48	1
SITE: 9	10	27	1
SITE: 9	11	48	0
SITE: 7	9	27	1
WARN: Unitary gate is identity
SITE: 8	8	8	1
SITE: 6	7	48	1
SITE: 4	6	27	0
WARN: Unitary gate is identity
SITE: 5	5	5	1
SITE: 3	4	48	0
SITE: 2	3	48	1
SITE: 1	2	48	1
SITE: 0	0	48	0
SITE: 1	48	49	1
SITE: 1	49	50	1
SITE: 27	50	52	0
SITE: 1	51	52	1
SITE: 1	52	53	0
SITE: 1	53	54	0
SITE: 27	54	56	0
SITE: 1	55	56	1
SITE: 1	56	57	1
SITE: 1	57	58	0
SITE: 1	58	59	1
SITE: 1	59	60	1
SITE: 27	60	62	1
WARN: Unitary gate is identity
SITE: 1	1	1	0
SITE: 27	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 27	27	27	0
MPS Info: -20.0042 1.4259 0.058538 
Writing MPS done!
