LHHLHLHLLLLLHLHLLHLHLLHLLHLLHHHHHHHLLLHHLHLLHHHHHLLLLHHLHHLHHHLL
W_LIST: 8.74014 -8.57964 -1.40654 -9.23333 -6.38261 -0.146631 -3.66461 -5.89359 -9.84878 -4.15783 -4.75082 -8.99019 1.87599 -0.0831704 -4.45253 9.4501 4.73283 -0.117033 7.15038 -6.92713 -1.20673 8.06746 -6.66336 5.02536 -2.88453 -3.09031 5.17498 1.42799 -8.93529 -8.21433 1.46794 -4.5836 6.13678 -5.80946 -6.04026 9.73318 2.65515 -6.73154 -1.79584 -6.47581 1.66942 -0.833011 6.75825 -2.70491 7.96517 -2.19355 -6.73799 -1.09031 -0.698301 3.39298 3.48364 -6.9378 -6.17322 -7.63269 -7.44522 -3.16839 -3.92585 0.469558 6.38935 4.72677 -3.96835 -6.78641 -0.325578 8.05699 
st	op	ed	phy
SITE: 34	35	37	1
SITE: 18	19	21	1
SITE: 18	21	22	1
SITE: 18	22	23	1
SITE: 18	23	24	1
SITE: 17	18	24	1
SITE: 29	31	32	1
SITE: 29	32	33	0
SITE: 30	34	36	1
SITE: 29	33	36	1
SITE: 29	36	37	1
SITE: 25	26	28	1
SITE: 20	25	27	1
SITE: 20	24	28	0
SITE: 17	20	28	0
SITE: 29	37	38	0
SITE: 30	39	40	1
SITE: 29	38	40	1
SITE: 30	40	42	1
SITE: 29	41	42	1
SITE: 30	42	44	1
SITE: 29	43	44	0
SITE: 29	44	45	0
SITE: 16	27	28	1
SITE: 14	15	17	1
SITE: 14	16	28	1
SITE: 29	45	46	1
SITE: 29	46	47	1
SITE: 17	28	30	1
SITE: 17	29	47	1
SITE: 14	17	47	1
SITE: 13	14	47	1
SITE: 11	12	30	0
SITE: 11	30	47	0
SITE: 59	61	62	1
SITE: 59	60	63	1
SITE: 57	58	62	1
SITE: 57	59	63	0
SITE: 2	3	5	0
SITE: 0	0	4	1
SITE: 1	1	5	1
SITE: 56	62	63	0
SITE: 10	11	47	0
SITE: 2	4	6	1
SITE: 5	7	8	0
SITE: 2	6	8	1
SITE: 2	8	9	0
SITE: 5	10	13	0
SITE: 5	9	47	0
SITE: 2	2	47	1
SITE: 13	47	49	1
WARN: Unitary gate is identity
SITE: 48	48	48	1
SITE: 13	50	51	1
WARN: Unitary gate is identity
SITE: 49	49	49	1
SITE: 5	51	52	0
SITE: 5	52	53	0
SITE: 54	56	57	1
SITE: 54	55	63	0
SITE: 13	53	57	1
SITE: 5	54	57	1
SITE: 5	63	63	1
WARN: Unitary gate is identity
SITE: 57	57	57	1
WARN: Unitary gate is identity
SITE: 5	5	5	0
WARN: Unitary gate is identity
SITE: 13	13	13	0
MPS Info: -6.09921 0.0662348 0.0164794 
Writing MPS done!
