HLLHHHHHLLHHHHHHHLHLLLLLHLHHLHLLHLHHHLHHLLLHLHLLLLHHHLLLHLHHLHLH
W_LIST: -1.23077 -1.43466 1.76742 2.83519 -0.681742 -2.28717 -3.52083 -1.32893 2.72861 4.50258 0.627922 -1.02391 4.53355 -1.27222 -1.13581 3.51649 0.247907 -3.50993 -3.48479 -0.618397 3.86475 0.78703 0.534746 2.01428 -2.55418 -4.40139 3.14658 -4.11546 -2.10569 1.59411 3.00678 -1.08091 -4.18796 3.85619 -1.47106 -1.89496 -3.1823 2.3247 0.157136 -3.4371 -2.28095 -4.47922 4.11257 1.51225 -3.71111 -0.119669 -3.15682 -3.58706 1.61331 0.465996 -2.3309 -3.7249 3.98038 2.53826 -0.537182 -3.70664 -2.30155 -1.63141 2.1487 -2.86613 -1.64468 3.21138 -4.32479 1.94687 
st	op	ed	phy
SITE: 41	42	44	1
SITE: 41	44	45	0
SITE: 41	43	46	0
SITE: 40	41	46	0
SITE: 38	39	45	1
SITE: 38	40	46	0
SITE: 36	37	45	1
SITE: 36	38	46	1
SITE: 35	36	46	1
SITE: 33	35	45	1
SITE: 33	34	46	1
SITE: 32	33	46	1
SITE: 31	32	46	1
SITE: 30	31	46	0
SITE: 28	30	45	1
SITE: 28	29	46	0
SITE: 26	27	45	1
SITE: 26	28	46	0
SITE: 25	26	46	0
SITE: 23	25	45	0
SITE: 23	24	46	1
SITE: 60	62	63	0
SITE: 58	59	61	1
SITE: 58	61	63	0
SITE: 57	58	63	0
SITE: 22	23	46	1
SITE: 20	21	45	1
SITE: 20	22	46	0
SITE: 19	20	46	1
SITE: 18	19	46	0
SITE: 16	17	45	0
SITE: 16	18	46	1
SITE: 15	16	46	0
SITE: 14	15	46	0
SITE: 12	13	45	1
SITE: 12	14	46	1
SITE: 11	12	46	0
SITE: 9	11	45	1
SITE: 9	45	46	0
SITE: 10	47	48	0
SITE: 9	46	48	0
SITE: 10	48	50	1
WARN: Unitary gate is identity
SITE: 10	10	10	0
SITE: 7	9	49	1
WARN: Unitary gate is identity
SITE: 8	8	8	1
SITE: 6	7	50	1
SITE: 5	6	50	1
SITE: 3	5	49	1
WARN: Unitary gate is identity
SITE: 4	4	4	1
SITE: 1	3	49	0
WARN: Unitary gate is identity
SITE: 2	2	2	1
SITE: 49	51	52	1
SITE: 1	50	52	1
SITE: 49	52	54	0
SITE: 1	53	54	1
SITE: 1	54	55	0
SITE: 1	55	56	0
SITE: 49	56	60	1
SITE: 1	57	60	0
SITE: 1	60	63	0
SITE: 0	63	63	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 49	49	49	0
WARN: Unitary gate is identity
SITE: 0	0	0	1
MPS Info: 1.60277 0.218987 0.0886507 
Writing MPS done!
