HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 3.69852 -3.51908 -2.07644 4.40551 0.263864 -1.47153 -2.21236 4.42627 0.767582 3.32096 -0.960235 -0.857573 -2.61832 -1.23888 3.87665 -0.23791 1.81217 -1.14951 3.50053 3.08945 -0.788957 -2.15534 -1.83066 0.00799704 3.27203 -1.80244 3.6305 -2.22301 -2.16131 -0.0637817 4.20346 0.653818 4.56684 4.18258 1.51533 3.82046 3.73823 1.9252 0.634055 -1.41064 -2.70206 0.921082 -2.71454 -4.6081 -4.01427 -2.66298 -1.89691 -4.00762 0.0495573 2.25938 -2.47592 4.60083 -2.25035 3.63299 4.16951 -0.119874 0.482017 4.21211 3.93434 4.57572 0.113033 0.520191 -3.96011 -1.27887 
st	op	ed	phy
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 0	0	5	0
SITE: 47	49	50	0
SITE: 47	50	51	1
SITE: 47	51	52	0
SITE: 47	52	53	0
SITE: 46	47	53	0
SITE: 45	46	53	0
SITE: 44	45	53	1
SITE: 48	54	55	0
SITE: 44	53	55	1
SITE: 48	55	57	1
SITE: 44	48	57	0
SITE: 42	43	56	0
SITE: 42	44	57	1
SITE: 41	42	57	1
SITE: 40	41	57	0
SITE: 38	40	56	0
WARN: Unitary gate is identity
SITE: 39	39	39	0
SITE: 36	37	56	1
WARN: Unitary gate is identity
SITE: 38	38	38	0
SITE: 34	35	56	0
WARN: Unitary gate is identity
SITE: 36	36	36	1
SITE: 33	34	57	1
SITE: 31	32	56	0
WARN: Unitary gate is identity
SITE: 33	33	33	1
SITE: 30	31	57	0
SITE: 29	30	57	1
SITE: 28	29	57	1
SITE: 26	28	56	0
WARN: Unitary gate is identity
SITE: 27	27	27	0
SITE: 25	26	57	1
SITE: 24	25	57	0
SITE: 23	24	57	0
SITE: 22	23	57	0
SITE: 21	22	57	1
SITE: 19	21	56	1
WARN: Unitary gate is identity
SITE: 20	20	20	1
SITE: 17	18	56	1
WARN: Unitary gate is identity
SITE: 19	19	19	1
SITE: 16	17	57	0
SITE: 14	16	56	1
WARN: Unitary gate is identity
SITE: 15	15	15	1
SITE: 13	14	57	1
SITE: 11	12	56	0
WARN: Unitary gate is identity
SITE: 13	13	13	1
SITE: 9	10	56	0
WARN: Unitary gate is identity
SITE: 11	11	11	1
SITE: 8	9	57	0
SITE: 6	7	56	1
WARN: Unitary gate is identity
SITE: 8	8	8	0
SITE: 4	6	56	0
SITE: 4	5	57	1
SITE: 2	2	57	1
SITE: 4	57	58	0
SITE: 56	59	60	1
SITE: 4	58	60	1
SITE: 56	61	62	1
SITE: 4	60	62	0
SITE: 4	62	63	0
SITE: 4	56	63	0
SITE: 4	63	63	0
WARN: Unitary gate is identity
SITE: 4	4	4	1
MPS Info: -11.6511 1.03841 0.0326411 
Writing MPS done!
