LHLLLLLHLHLLLLLHHHLHHLHLLHHLLLLLHHHLLHLHHHHHLHHLHLLHLLLHHLHHHLLH
W_LIST: 1.63691 -0.408761 2.45218 1.09457 2.38344 0.152999 0.218162 -2.59716 -1.83558 1.7526 1.43183 -0.391652 -0.402567 -1.75377 -0.872503 0.692971 -0.195271 -0.281061 0.81506 2.39619 2.01202 0.704884 -1.26353 -0.84849 -0.165449 2.49736 -2.48018 -2.16233 0.512657 -1.18715 2.06971 -0.88833 -0.928893 -2.53963 -2.45218 -1.69404 -2.33515 -2.31874 1.34913 -0.585923 1.03834 1.22422 -0.0132731 -2.00309 1.90643 -1.47319 1.92232 0.276067 1.24195 -1.81327 -2.18042 1.92129 -2.51163 -0.375028 -1.74596 -0.954258 -1.99463 -0.172088 -0.614172 -2.26417 -1.91866 -0.33372 2.25051 -0.538437 
st	op	ed	phy
SITE: 25	26	28	1
SITE: 24	27	28	0
SITE: 24	25	29	0
SITE: 24	28	30	1
SITE: 24	30	31	1
SITE: 23	29	31	0
SITE: 24	31	33	0
SITE: 23	24	33	1
SITE: 21	23	32	0
SITE: 21	22	33	1
SITE: 20	21	33	0
SITE: 20	33	34	1
SITE: 20	34	35	1
SITE: 20	35	36	0
SITE: 32	36	38	0
SITE: 20	37	38	1
SITE: 20	38	39	1
SITE: 20	39	40	1
SITE: 20	32	41	1
SITE: 20	41	42	0
SITE: 20	40	43	0
SITE: 20	43	44	1
SITE: 20	44	45	1
SITE: 20	45	46	1
SITE: 20	46	47	0
SITE: 42	48	49	0
SITE: 20	47	49	1
SITE: 42	50	51	0
SITE: 20	49	51	0
SITE: 20	51	52	0
SITE: 20	52	53	0
SITE: 20	53	54	1
SITE: 20	54	55	0
SITE: 20	55	56	1
SITE: 20	56	57	1
SITE: 42	57	59	0
WARN: Unitary gate is identity
SITE: 58	58	58	1
SITE: 20	59	60	1
SITE: 20	60	61	1
SITE: 20	61	62	0
SITE: 20	62	63	1
SITE: 18	19	42	0
SITE: 18	20	63	0
SITE: 17	18	63	1
SITE: 16	17	63	1
SITE: 15	16	63	1
SITE: 14	15	63	0
SITE: 13	14	63	0
SITE: 12	13	63	0
SITE: 10	11	42	0
WARN: Unitary gate is identity
SITE: 12	12	12	1
SITE: 8	10	42	1
WARN: Unitary gate is identity
SITE: 9	9	9	0
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 4	6	42	0
WARN: Unitary gate is identity
SITE: 5	5	5	1
SITE: 3	4	63	1
SITE: 2	3	63	1
SITE: 1	2	63	1
SITE: 0	0	63	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 42	42	42	1
MPS Info: 2.09556 1.26987 0.679086 
Writing MPS done!
