LHLHLLLHLLLLHLHLHLHHHHHLHLHLLHLLHHHLHLLLLLHHLLHHHHLLHLHLLLHLLHLL
W_LIST: -2.12199 1.09254 -1.46645 2.87123 -0.234801 3.04048 -1.32785 3.06194 -0.156494 -2.56324 -0.357753 3.40447 3.72303 -0.233575 0.101217 2.33866 0.494149 1.77043 0.888267 -1.04976 3.47948 -3.09356 3.54737 -1.93494 3.83888 -0.852158 -0.83767 -2.79979 -3.23988 -1.32415 1.39681 3.7433 -2.14925 3.71505 3.63994 1.55168 -0.520522 -0.292171 -3.58394 1.23346 3.19805 -0.781348 3.72459 3.69264 -2.99234 -1.59572 -2.26551 2.09089 1.1166 -1.41849 2.26482 3.19906 2.96859 -1.63083 0.741343 1.18129 -2.29566 -2.92345 -0.173436 -2.82433 3.85129 -2.54435 -2.32143 -1.39509 
st	op	ed	phy
SITE: 19	20	22	0
SITE: 19	22	23	0
SITE: 19	21	24	1
SITE: 19	24	25	0
SITE: 18	23	25	0
SITE: 38	40	41	1
SITE: 38	41	42	0
SITE: 39	42	44	0
SITE: 38	43	44	0
SITE: 37	38	44	0
SITE: 37	44	45	0
SITE: 39	46	47	1
SITE: 37	39	47	1
SITE: 35	36	45	1
SITE: 35	45	47	0
SITE: 34	35	47	1
SITE: 37	47	49	0
SITE: 34	48	49	0
SITE: 34	49	50	1
SITE: 34	50	51	1
SITE: 37	52	53	0
SITE: 34	51	53	1
SITE: 34	53	54	0
SITE: 37	54	56	0
SITE: 34	55	56	1
SITE: 34	56	57	0
SITE: 34	57	58	0
SITE: 37	59	60	0
SITE: 34	58	60	0
SITE: 34	60	61	1
SITE: 34	61	62	1
SITE: 34	62	63	0
SITE: 32	33	37	0
SITE: 32	34	63	0
SITE: 31	32	63	1
SITE: 29	31	37	1
SITE: 29	30	63	1
SITE: 28	29	63	1
SITE: 26	28	37	0
SITE: 26	27	63	0
SITE: 19	25	37	0
SITE: 19	26	63	0
SITE: 18	19	63	1
SITE: 17	18	63	0
SITE: 16	17	63	1
SITE: 15	16	63	1
SITE: 14	15	63	1
SITE: 12	14	37	1
WARN: Unitary gate is identity
SITE: 13	13	13	0
SITE: 11	12	63	0
SITE: 10	11	63	1
SITE: 9	10	63	0
SITE: 7	9	37	0
WARN: Unitary gate is identity
SITE: 8	8	8	1
SITE: 6	7	63	0
SITE: 5	6	63	0
SITE: 4	5	63	1
SITE: 3	4	63	0
SITE: 2	3	63	0
SITE: 0	0	37	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 2	2	2	0
WARN: Unitary gate is identity
SITE: 37	37	37	0
MPS Info: -4.24788 0.68725 6.43056e-06 
Writing MPS done!
