HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 4.23029 -4.02504 -2.37499 5.03893 0.301802 -1.6831 -2.53045 5.06266 0.877943 3.79844 -1.09829 -0.980872 -2.99478 -1.417 4.43402 -0.272116 2.07271 -1.31478 4.00382 3.53364 -0.902391 -2.46523 -2.09386 0.00914683 3.74248 -2.06159 4.15248 -2.54262 -2.47206 -0.0729521 4.80782 0.747822 5.22345 4.78394 1.7332 4.36976 4.2757 2.20199 0.725217 -1.61345 -3.09055 1.05351 -3.10483 -5.27063 -4.59143 -3.04586 -2.16964 -4.58383 0.0566824 2.58422 -2.83189 5.26232 -2.5739 4.15533 4.76899 -0.137109 0.55132 4.81771 4.5 5.23361 0.129284 0.594983 -4.52948 -1.46275 
st	op	ed	phy
SITE: 47	49	50	0
SITE: 47	50	51	1
SITE: 47	51	52	0
SITE: 47	52	53	0
SITE: 46	47	53	0
SITE: 45	46	53	0
SITE: 44	45	53	1
SITE: 48	54	55	0
SITE: 44	53	55	1
SITE: 48	55	57	1
SITE: 44	48	57	0
SITE: 6	7	9	1
SITE: 6	9	10	0
SITE: 5	6	10	0
SITE: 3	5	8	1
SITE: 3	8	10	0
SITE: 2	3	10	0
SITE: 0	0	4	0
SITE: 1	1	10	1
SITE: 42	43	56	0
SITE: 42	44	57	1
SITE: 41	42	57	1
SITE: 40	41	57	0
SITE: 38	40	56	0
WARN: Unitary gate is identity
SITE: 39	39	39	0
SITE: 36	37	56	1
WARN: Unitary gate is identity
SITE: 38	38	38	0
SITE: 34	35	56	0
WARN: Unitary gate is identity
SITE: 36	36	36	1
SITE: 33	34	57	1
SITE: 31	32	56	0
WARN: Unitary gate is identity
SITE: 33	33	33	1
SITE: 30	31	57	0
SITE: 29	30	57	1
SITE: 28	29	57	1
SITE: 26	28	56	0
WARN: Unitary gate is identity
SITE: 27	27	27	0
SITE: 25	26	57	1
SITE: 24	25	57	0
SITE: 23	24	57	0
SITE: 22	23	57	0
SITE: 21	22	57	1
SITE: 19	21	56	1
WARN: Unitary gate is identity
SITE: 20	20	20	1
SITE: 17	18	56	1
WARN: Unitary gate is identity
SITE: 19	19	19	1
SITE: 16	17	57	0
SITE: 14	16	56	1
WARN: Unitary gate is identity
SITE: 15	15	15	1
SITE: 13	14	57	1
SITE: 11	12	56	0
WARN: Unitary gate is identity
SITE: 13	13	13	1
SITE: 4	10	56	0
SITE: 4	11	57	1
SITE: 2	2	57	1
SITE: 4	57	58	0
SITE: 56	59	60	1
SITE: 4	58	60	1
SITE: 56	61	62	1
SITE: 4	56	62	0
SITE: 4	62	63	0
SITE: 4	60	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 4	4	4	1
MPS Info: -12.3607 1.0101 0.0235193 
Writing MPS done!
