HLLLHHLHLHLHLHLHLLHHLHLLLLLLLHLHHLLLHHHHLLHLHHHLHLHHLHHLHLHHLHLH
W_LIST: 3.42647 4.96348 -4.48361 -1.44578 2.93182 -3.80981 2.7204 2.50804 3.72253 3.18994 4.7338 5.10722 1.74049 -0.196849 -3.98573 0.89368 -4.63406 -0.201534 3.83256 0.66404 -0.671989 -3.5584 -3.3896 1.19748 3.78698 -2.87763 0.544287 2.76292 -4.50802 3.2068 -4.69254 0.280372 -4.80326 -4.58973 4.43751 0.359117 1.73303 -1.76014 -3.13914 -2.06292 2.81643 -3.83094 2.85693 5.23951 -5.02755 -0.193239 1.3044 1.34301 -3.87787 4.26354 2.52026 0.851062 3.89595 1.58328 -4.18193 3.22143 -4.16761 -5.16446 -4.76398 0.452061 0.503136 -1.9647 -1.84197 -2.26753 
st	op	ed	phy
SITE: 41	43	44	1
SITE: 41	44	45	1
SITE: 40	41	45	0
SITE: 39	40	45	1
SITE: 39	42	46	0
SITE: 1	2	4	0
SITE: 1	4	5	0
SITE: 1	5	6	1
SITE: 0	1	6	1
SITE: 22	24	25	1
SITE: 23	25	27	0
SITE: 22	26	27	1
SITE: 22	27	28	1
SITE: 22	28	29	0
SITE: 22	29	30	0
SITE: 22	30	31	0
SITE: 22	31	32	0
SITE: 23	33	34	0
SITE: 22	32	34	1
SITE: 22	34	35	1
SITE: 23	36	37	0
SITE: 22	23	37	1
SITE: 22	37	38	1
SITE: 35	38	45	1
SITE: 22	39	45	1
SITE: 22	45	46	1
SITE: 35	47	48	1
SITE: 22	46	48	0
SITE: 22	48	49	1
SITE: 22	49	50	1
SITE: 35	50	52	0
SITE: 22	51	52	0
SITE: 35	52	54	1
WARN: Unitary gate is identity
SITE: 53	53	53	0
SITE: 22	54	55	1
SITE: 22	55	56	1
SITE: 15	16	18	0
SITE: 14	15	18	0
SITE: 13	14	18	0
SITE: 11	12	17	1
SITE: 11	13	18	1
SITE: 11	18	19	0
SITE: 20	22	35	0
SITE: 20	21	56	1
SITE: 19	20	56	0
SITE: 11	19	35	0
SITE: 11	17	56	1
SITE: 11	56	57	1
SITE: 35	57	59	0
WARN: Unitary gate is identity
SITE: 58	58	58	1
SITE: 35	60	61	1
WARN: Unitary gate is identity
SITE: 59	59	59	1
SITE: 11	61	62	1
SITE: 11	62	63	0
SITE: 0	0	7	0
SITE: 3	7	8	0
SITE: 3	8	9	1
SITE: 3	9	10	0
SITE: 6	10	35	1
SITE: 6	11	63	0
SITE: 3	63	63	1
SITE: 3	6	35	1
WARN: Unitary gate is identity
SITE: 3	3	3	0
WARN: Unitary gate is identity
SITE: 35	35	35	1
MPS Info: -9.65449 0.46342 0.0373029 
Writing MPS done!
