HHLLHHLLLLHLHHHHHLHLHLHHHLLLLLHLHHLHLHLLLLLHLLLHHHHLLHLHLHLLHHLL
W_LIST: -3.72014 -1.66783 4.77754 -1.79386 -1.60009 -4.57765 -1.14234 4.1501 3.9907 3.42055 -4.66254 0.507646 -4.19884 -1.04312 -2.81512 -2.48186 -4.6285 -0.972299 3.71577 -4.85812 -0.792486 2.43103 -2.2681 2.78727 3.5212 0.374673 -1.95081 3.85906 -2.79648 -4.29926 4.78211 -4.40811 0.0485669 -2.71058 -2.73989 3.15863 3.41467 -1.36355 4.77404 -4.11897 3.48611 -2.65722 -1.51444 2.52055 3.09056 -4.68828 -1.22057 2.08994 -3.36957 -2.18194 -3.90137 -3.59802 4.10278 3.29486 4.87454 0.65903 4.41049 4.67839 -0.451211 -1.2118 -4.79104 -2.54215 -1.11877 0.93908 
st	op	ed	phy
SITE: 37	38	40	1
SITE: 37	39	41	0
SITE: 36	40	41	1
SITE: 37	41	43	0
SITE: 36	37	43	1
SITE: 16	18	19	0
SITE: 17	19	21	0
SITE: 16	17	21	0
SITE: 16	21	22	1
SITE: 16	22	23	1
SITE: 20	24	25	0
SITE: 16	23	25	0
SITE: 20	26	27	0
SITE: 16	25	27	1
SITE: 16	27	28	1
SITE: 20	29	30	0
SITE: 16	28	30	0
SITE: 16	30	31	0
SITE: 16	31	32	0
SITE: 16	20	33	1
SITE: 15	16	33	1
SITE: 34	35	42	0
SITE: 34	36	43	1
SITE: 32	33	42	1
SITE: 15	34	42	0
SITE: 15	42	43	0
SITE: 32	44	45	1
SITE: 15	43	45	0
SITE: 15	45	46	0
SITE: 32	47	48	0
SITE: 15	46	48	0
SITE: 32	48	50	1
SITE: 15	49	50	1
SITE: 32	50	52	1
WARN: Unitary gate is identity
SITE: 51	51	51	0
SITE: 15	52	53	1
SITE: 32	54	55	1
WARN: Unitary gate is identity
SITE: 53	53	53	0
SITE: 15	32	56	0
SITE: 55	57	58	0
WARN: Unitary gate is identity
SITE: 56	56	56	1
SITE: 15	55	59	1
SITE: 15	59	60	0
SITE: 15	60	61	1
SITE: 15	61	62	1
SITE: 15	62	63	0
SITE: 13	14	58	1
SITE: 13	15	63	1
SITE: 11	12	58	1
SITE: 11	13	63	1
SITE: 9	10	58	1
SITE: 9	58	63	1
SITE: 8	9	63	1
SITE: 6	7	11	1
SITE: 6	8	63	1
SITE: 5	6	63	0
SITE: 4	5	63	1
SITE: 2	4	11	1
SITE: 2	3	63	0
SITE: 1	2	63	1
SITE: 0	0	63	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 11	11	11	0
MPS Info: -5.55721 0.409999 0.00336226 
Writing MPS done!
