LHHLLHHLLHLHLHLLHHHLHLHHLLHLLHHLLLHLLLHHHHLHHHHHHHHHLLHLLHHHLLLH
W_LIST: 4.33968 -7.76852 4.94036 -4.80428 -0.541547 6.14685 2.64425 -4.05939 8.97841 7.69823 -5.1643 3.49365 7.44845 -4.96806 -1.7414 1.57988 8.65583 -4.56981 7.12216 7.5236 -2.01005 7.14469 -0.800688 -6.99275 6.22544 -6.25869 5.6275 -6.49175 0.123071 1.95427 5.67063 -6.75062 -1.51661 0.862907 6.21863 -2.15618 -5.41343 -1.41895 0.381044 2.72429 -8.68639 -1.41151 0.173883 -4.08347 -2.33238 -6.6641 7.00382 6.75021 -5.09964 -8.18093 6.42142 -4.30346 8.99795 -5.55469 4.44538 -7.32037 1.89116 6.70426 -4.34806 -8.07038 8.42922 -7.09264 0.179206 -5.27127 
st	op	ed	phy
SITE: 34	36	37	0
SITE: 27	29	30	0
SITE: 40	41	43	1
SITE: 52	53	55	0
SITE: 52	55	56	0
SITE: 5	7	8	0
SITE: 22	23	25	1
SITE: 0	1	3	1
SITE: 19	21	22	1
SITE: 45	46	48	0
SITE: 26	27	30	0
SITE: 22	25	26	0
SITE: 20	24	26	1
SITE: 59	60	62	1
SITE: 3	5	6	0
SITE: 12	13	15	1
SITE: 8	9	11	0
SITE: 31	32	34	0
SITE: 10	12	14	1
SITE: 18	19	22	1
SITE: 49	50	52	0
SITE: 34	35	38	0
SITE: 47	49	51	1
SITE: 39	40	43	1
SITE: 56	57	59	0
SITE: 43	45	47	1
SITE: 38	39	43	0
SITE: 0	3	4	0
SITE: 20	26	28	0
SITE: 34	37	42	0
SITE: 2	6	8	0
SITE: 58	59	62	1
SITE: 30	31	34	0
SITE: 4	8	11	1
SITE: 56	61	62	0
SITE: 28	30	34	0
SITE: 4	10	14	0
SITE: 51	52	56	1
SITE: 16	18	20	0
SITE: 20	22	33	1
SITE: 0	2	11	0
SITE: 51	54	58	0
SITE: 28	34	38	0
SITE: 43	47	48	0
SITE: 0	0	14	1
SITE: 43	48	51	1
SITE: 14	16	17	0
SITE: 17	20	33	1
SITE: 28	33	42	1
SITE: 38	43	44	1
SITE: 42	51	56	1
SITE: 11	14	17	0
SITE: 42	44	58	1
SITE: 42	58	62	1
SITE: 28	38	56	0
SITE: 4	11	17	0
SITE: 15	17	42	1
SITE: 28	56	62	1
WARN: Unitary gate is identity
SITE: 28	28	28	1
WARN: Unitary gate is identity
SITE: 15	15	15	1
SITE: 4	63	63	1
WARN: Unitary gate is identity
SITE: 42	42	42	0
WARN: Unitary gate is identity
SITE: 4	4	4	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
MPS Info: 27.2756 0.07999 0.00169329 
Writing MPS done!
