HLLHLHLLHLLLHHHHHLHLHLHLHHLHHHLLHHHLLLLHHHLHHHLHHHLHLHLLHLLHLHHH
W_LIST: 2.2417 -1.9513 -0.0636204 1.00976 0.26457 -2.07905 -0.543515 1.01065 1.82905 -2.0097 1.14972 0.155949 1.49175 -1.43619 0.293113 -1.33619 -0.138268 2.17506 -1.63009 -0.757537 1.78129 1.11033 1.11702 -2.10207 -1.30628 0.6644 -0.720733 -0.876699 0.282179 -1.35355 0.742989 -0.233938 2.15075 -1.24538 2.1512 1.68239 0.0761392 1.43041 -2.04749 0.906176 -0.353811 -1.36677 -1.85297 -1.47562 0.760418 0.399642 0.803584 -1.01989 1.05663 -0.86817 2.31502 -1.29989 -2.25223 -1.70432 -1.38927 0.604411 1.94353 -1.26018 0.158948 1.7023 -1.06748 0.954127 -1.59465 -0.828853 
st	op	ed	phy
SITE: 54	56	57	0
SITE: 54	57	58	0
SITE: 55	59	60	0
SITE: 54	58	60	1
SITE: 55	61	62	0
SITE: 54	55	62	1
SITE: 54	62	63	1
SITE: 53	54	63	0
SITE: 52	53	63	1
SITE: 50	52	60	0
SITE: 50	51	63	1
SITE: 49	50	63	1
SITE: 48	49	63	1
SITE: 47	48	63	0
SITE: 46	47	63	1
SITE: 45	46	63	1
SITE: 44	45	63	1
SITE: 43	44	63	0
SITE: 42	43	63	1
SITE: 41	42	63	0
SITE: 40	41	63	1
SITE: 38	39	60	0
SITE: 38	60	63	0
SITE: 37	38	63	0
SITE: 36	37	63	1
SITE: 35	36	63	0
SITE: 33	34	40	0
SITE: 33	35	63	1
SITE: 32	33	63	1
SITE: 31	32	63	0
SITE: 29	30	40	1
SITE: 29	31	63	0
SITE: 28	29	63	1
SITE: 27	40	63	1
SITE: 26	27	63	1
SITE: 25	26	63	0
SITE: 24	25	63	0
SITE: 23	24	63	1
SITE: 22	23	63	0
SITE: 21	22	63	0
SITE: 19	20	28	0
SITE: 19	21	63	1
SITE: 17	18	28	1
SITE: 17	19	63	0
SITE: 16	17	63	1
SITE: 14	15	28	1
SITE: 14	16	63	1
SITE: 12	13	28	1
SITE: 12	14	63	1
SITE: 11	12	63	0
SITE: 9	10	28	1
SITE: 9	11	63	0
SITE: 8	9	63	0
SITE: 7	8	63	0
SITE: 6	7	63	1
SITE: 4	5	28	1
WARN: Unitary gate is identity
SITE: 6	6	6	0
SITE: 3	4	63	0
SITE: 2	3	63	0
SITE: 0	0	28	0
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 2	2	2	1
WARN: Unitary gate is identity
SITE: 28	28	28	1
MPS Info: 3.33351 1.25741 0.0996156 
Writing MPS done!
